Dt,Group 1 production,Group 1 installed capacity,Group 2 production,Group 2 installed capacity,Group 3 production,Group 3 installed capacity,Group 4 production,Group 4 installed capacity,Temperature,Load,Wind,Solar,Prices
01/02/2019 12:00,17.571,31.791,22.032,32.404,13.41,32.74,20.295,29.492,5.5,11377,1364,402,57.32
01/02/2019 13:00,18.219,31.791,22.277,32.404,14.925,32.74,19.502,29.492,5.8,11215,1275,466,51.91
01/02/2019 14:00,18.409,31.791,22.22,32.404,15.474,32.74,16.944,29.492,5.7,11072,1192,426,54.59
01/02/2019 15:00,17.76,31.791,22.224,32.404,16.673,32.74,19.63,29.492,5.9,11097,1083,325,58.89
01/02/2019 16:00,17.873,31.791,22.545,32.404,17.386,32.74,20.339,29.492,5.6,11059,964,189,66.57
01/02/2019 17:00,18.57,31.791,22.693,32.404,17.796,32.74,19.052,29.492,5.1,11706,865,31,74.33
01/02/2019 18:00,19.087,31.791,23.201,32.404,17.506,32.74,19.01,29.492,4.9,12052,782,0,74.45
01/02/2019 19:00,19.027,31.791,22.423,32.404,14.488,32.74,18.942,29.492,4.2,11798,715,0,74.33
01/02/2019 20:00,19,31.791,22.313,32.404,14.41,32.74,18.909,29.492,4.4,10963,660,0,67.29
01/02/2019 21:00,18.923,31.791,21.989,32.404,14.407,32.74,18.253,29.492,4.3,10379,607,0,55.64
01/02/2019 22:00,20.636,31.791,21.601,32.404,14.373,32.74,13.875,29.492,4.4,10258,545,0,56.77
01/02/2019 23:00,23.467,31.791,21.706,32.404,14.445,32.74,18.971,29.492,4.2,10527,484,0,57.28
01/03/2019 00:00,23.232,31.791,21.742,32.404,17.154,32.74,18.143,29.492,4.2,10243,439,0,50.12
01/03/2019 01:00,21.445,31.791,21.453,32.404,17.377,32.74,16.827,29.492,3.9,9641,448,0,46.45
01/03/2019 02:00,19.94,31.791,22.048,32.404,17.423,32.74,18.769,29.492,3.9,9195,447,0,46.12
01/03/2019 03:00,19.981,31.791,22.342,32.404,17.526,32.74,17.264,29.492,3.9,8783,420,0,44
01/03/2019 04:00,20.178,31.791,21.901,32.404,17.466,32.74,18.783,29.492,3.9,8772,398,0,43.88
01/03/2019 05:00,23.563,31.791,22.304,32.404,17.534,32.74,18.297,29.492,3.6,8939,399,0,45.92
01/03/2019 06:00,23.626,31.791,22.349,32.404,18.479,32.74,20.304,29.492,3.6,9526,401,0,52.96
01/03/2019 07:00,23.541,31.791,23.457,32.404,14.828,32.74,20.332,29.492,3.7,10327,414,0,60.22
01/03/2019 08:00,23.702,31.791,23.159,32.404,16.147,32.74,20.354,29.492,3.5,11171,428,0,65.65
01/03/2019 09:00,23.659,31.791,22.685,32.404,16.224,32.74,20.363,29.492,3.6,11480,416,1,75.58
01/03/2019 10:00,23.623,31.791,22.609,32.404,16.212,32.74,20.38,29.492,3.7,11667,387,64,77.03
01/03/2019 11:00,23.731,31.791,23.261,32.404,15.474,32.74,18.521,29.492,4.3,11728,359,190,71.59
01/03/2019 12:00,23.857,31.791,23.638,32.404,15.336,32.74,18.82,29.492,4.4,11659,324,257,69.83
01/03/2019 13:00,23.725,31.791,23.573,32.404,15.273,32.74,20.396,29.492,4.9,11598,298,278,68.15
01/03/2019 14:00,23.521,31.791,23.127,32.404,15.397,32.74,20.373,29.492,5.1,11479,281,271,68.25
01/03/2019 15:00,23.674,31.791,22.861,32.404,15.252,32.74,20.381,29.492,5.1,11492,265,232,68.19
01/03/2019 16:00,23.703,31.791,23.186,32.404,15.606,32.74,20.417,29.492,4.2,11371,267,133,69.4
01/03/2019 17:00,23.409,31.791,23.454,32.404,17.667,32.74,19.07,29.492,4.1,11996,296,22,72.32
01/03/2019 18:00,21.178,31.791,23.272,32.404,16.209,32.74,18.922,29.492,4.7,12353,329,0,77.92
01/03/2019 19:00,15.121,31.791,23.29,32.404,14.748,32.74,18.917,29.492,4.7,11883,349,0,71.34
01/03/2019 20:00,15.075,31.791,22.98,32.404,14.697,32.74,18.895,29.492,4.3,11322,349,0,68.38
01/03/2019 21:00,18.026,31.791,22.672,32.404,14.767,32.74,18.877,29.492,3.3,10801,326,0,61.72
01/03/2019 22:00,16.896,31.791,21.633,32.404,13.996,32.74,14.743,29.492,2,10671,288,0,56.6
01/03/2019 23:00,14.96,31.791,21.17,32.404,14.095,32.74,19.143,29.492,2.7,10878,243,0,56.06
01/04/2019 00:00,15.846,31.791,21.532,32.404,17.162,32.74,18.751,29.492,2.5,10411,208,0,53.44
01/04/2019 01:00,18.701,31.791,22.855,32.404,17.904,32.74,20.288,29.492,2.7,9798,174,0,51.27
01/04/2019 02:00,18.813,31.791,22.989,32.404,18.168,32.74,19.026,29.492,2.8,9305,169,0,50
01/04/2019 03:00,18.671,31.791,22.718,32.404,18.831,32.74,18.51,29.492,2.5,8948,178,0,47.87
01/04/2019 04:00,18.599,31.791,22.562,32.404,18.846,32.74,19.219,29.492,2.9,8845,202,0,47
01/04/2019 05:00,18.484,31.791,22.797,32.404,18.858,32.74,19.807,29.492,3.1,8990,253,0,47.51
01/04/2019 06:00,18.325,31.791,23.031,32.404,18.965,32.74,18.756,29.492,3.4,9582,322,0,59.54
01/04/2019 07:00,18.368,31.791,22.805,32.404,19.024,32.74,20.356,29.492,3.6,10308,379,0,68.4
01/04/2019 08:00,18.497,31.791,22.838,32.404,18.683,32.74,20.193,29.492,3.5,11129,405,0,74.19
01/04/2019 09:00,18.567,31.791,23.499,32.404,18.663,32.74,15.944,29.492,3.5,11518,415,1,81.91
01/04/2019 10:00,18.549,31.791,23.223,32.404,18.583,32.74,17.622,29.492,4,11614,430,110,83.56
01/04/2019 11:00,22.882,31.791,23.537,32.404,18.764,32.74,20.419,29.492,4.2,11683,445,301,82.33
01/04/2019 12:00,21.689,31.791,23.446,32.404,19.037,32.74,20.433,29.492,4.6,11668,462,450,79.38
01/04/2019 13:00,23.43,31.791,23.546,32.404,19.097,32.74,20.454,29.492,4.1,11517,499,500,78.45
01/04/2019 14:00,23.621,31.791,23.521,32.404,18.422,32.74,20.459,29.492,3.8,11329,544,456,80.62
01/04/2019 15:00,23.675,31.791,23.528,32.404,16.746,32.74,20.455,29.492,3.5,11201,591,352,80.39
01/04/2019 16:00,23.756,31.791,23.826,32.404,16.922,32.74,20.466,29.492,3.2,11245,652,202,79.73
01/04/2019 17:00,23.745,31.791,23.921,32.404,18.7,32.74,19.146,29.492,2.7,11832,700,37,86.94
01/04/2019 18:00,23.587,31.791,23.715,32.404,19.031,32.74,19.055,29.492,2.8,12048,724,0,85.7
01/04/2019 19:00,21.981,31.791,23.629,32.404,19.177,32.74,19.716,29.492,3.1,11598,726,0,79.6
01/04/2019 20:00,19.523,31.791,23.203,32.404,16.587,32.74,20.216,29.492,3.2,11094,712,0,60.4
01/04/2019 21:00,19.144,31.791,22.5,32.404,16.463,32.74,18.929,29.492,3.2,10597,716,0,60.3
01/04/2019 22:00,19.178,31.791,22.482,32.404,16.486,32.74,18.888,29.492,3.7,10383,728,0,60.3
01/04/2019 23:00,19.182,31.791,22.473,32.404,16.233,32.74,19.621,29.492,3.8,10694,745,0,54.9
01/05/2019 00:00,21.646,31.791,22.381,32.404,18.984,32.74,18.125,29.492,3.7,10218,781,0,59.3
01/05/2019 01:00,21.815,31.791,22.46,32.404,19.317,32.74,17.949,29.492,3.9,9826,851,0,57.17
01/05/2019 02:00,23.001,31.791,22.45,32.404,19.275,32.74,18.567,29.492,4.4,9250,882,0,45.9
01/05/2019 03:00,22.978,31.791,22.232,32.404,19.21,32.74,17.293,29.492,4.7,8860,929,0,49.05
01/05/2019 04:00,23.162,31.791,22.712,32.404,19.272,32.74,18.617,29.492,4.9,8832,973,0,51
01/05/2019 05:00,23.087,31.791,22.565,32.404,19.267,32.74,16.603,29.492,5.2,8949,1018,0,51
01/05/2019 06:00,23.069,31.791,22.413,32.404,18.522,32.74,15.693,29.492,5.5,9298,1045,0,52.21
01/05/2019 07:00,22.964,31.791,22.309,32.404,18.407,32.74,17.977,29.492,5.6,9405,1051,0,48.09
01/05/2019 08:00,19.591,31.791,22.028,32.404,18.384,32.74,18.313,29.492,5.8,9967,1032,0,59.11
01/05/2019 09:00,19.387,31.791,22.155,32.404,18.426,32.74,18.585,29.492,5.8,10163,996,1,69
01/05/2019 10:00,21.99,31.791,22.503,32.404,18.497,32.74,18.684,29.492,5.9,10271,964,27,69
01/05/2019 11:00,23.024,31.791,22.601,32.404,18.96,32.74,16.525,29.492,5.9,10486,945,85,69
01/05/2019 12:00,23.023,31.791,22.688,32.404,19.712,32.74,18.617,29.492,5.8,10662,962,140,73
01/05/2019 13:00,22.398,31.791,22.704,32.404,19.716,32.74,19.689,29.492,6,10545,985,165,73
01/05/2019 14:00,22.172,31.791,22.697,32.404,19.709,32.74,20.076,29.492,5.9,10344,990,160,68.96
01/05/2019 15:00,22.937,31.791,22.735,32.404,19.711,32.74,19.385,29.492,5.7,10324,990,124,64.12
01/05/2019 16:00,22.702,31.791,22.784,32.404,19.695,32.74,18.4,29.492,5.6,10228,977,63,59.61
01/05/2019 17:00,23.257,31.791,22.918,32.404,19.603,32.74,17.236,29.492,5.5,10882,945,12,75.14
01/05/2019 18:00,21.177,31.791,22.461,32.404,16.947,32.74,17.492,29.492,5.4,11195,899,0,74.7
01/05/2019 19:00,19.013,31.791,22.039,32.404,15.587,32.74,17.344,29.492,5.2,10911,840,0,76.29
01/05/2019 20:00,19.073,31.791,22.221,32.404,15.385,32.74,14.761,29.492,4.9,10375,760,0,68.07
01/05/2019 21:00,18.994,31.791,22.078,32.404,15.385,32.74,16.313,29.492,4.7,10027,675,0,60.05
01/05/2019 22:00,17.917,31.791,21.774,32.404,15.338,32.74,11.161,29.492,4.6,9752,607,0,65.76
01/05/2019 23:00,18.864,31.791,22.477,32.404,15.531,32.74,18.261,29.492,4.4,10101,567,0,64.9
01/06/2019 00:00,21.04,31.791,22.338,32.404,18.32,32.74,15.07,29.492,4.1,10255,553,0,59.23
01/06/2019 01:00,20.191,31.791,22.243,32.404,18.516,32.74,14.967,29.492,3.9,9081,555,0,51.54
01/06/2019 02:00,17.41,31.791,22.037,32.404,19.014,32.74,13.797,29.492,3.4,8561,527,0,50.6
01/06/2019 03:00,18.445,31.791,21.948,32.404,19.412,32.74,12.024,29.492,3.3,8240,481,0,48.02
01/06/2019 04:00,18.742,31.791,22.169,32.404,19.433,32.74,14.622,29.492,3.5,8074,421,0,46.41
01/06/2019 05:00,20.414,31.791,22.226,32.404,19.451,32.74,14.744,29.492,3.4,8055,390,0,47.17
01/06/2019 06:00,22.824,31.791,22.561,32.404,19.422,32.74,15.566,29.492,3.7,8192,377,0,48.19
01/06/2019 07:00,22.88,31.791,22.705,32.404,19.175,32.74,19.204,29.492,3.9,8284,364,0,49.11
01/06/2019 08:00,22.948,31.791,22.987,32.404,18.657,32.74,16.235,29.492,4.2,8649,341,0,50.77
01/06/2019 09:00,22.879,31.791,22.806,32.404,18.67,32.74,16.699,29.492,4.4,9013,306,1,53.4
01/06/2019 10:00,22.915,31.791,22.973,32.404,18.706,32.74,20.203,29.492,4.6,9675,265,41,56.55
01/06/2019 11:00,22.8,31.791,22.938,32.404,18.717,32.74,17.047,29.492,4.9,10009,227,133,60.02
01/06/2019 12:00,22.883,31.791,23.01,32.404,18.726,32.74,14.74,29.492,5.2,10299,197,200,60.22
01/06/2019 13:00,22.96,31.791,23.283,32.404,18.747,32.74,17.243,29.492,5.8,10214,171,230,55
01/06/2019 14:00,22.972,31.791,23.325,32.404,18.765,32.74,20.418,29.492,5.9,9935,148,224,52.39
01/06/2019 15:00,22.96,31.791,23.298,32.404,18.764,32.74,20.42,29.492,5.4,9889,138,185,51.57
01/06/2019 16:00,22.959,31.791,23.23,32.404,19.037,32.74,20.42,29.492,5.2,9705,136,101,54.71
01/06/2019 17:00,22.886,31.791,23.107,32.404,19.665,32.74,18.397,29.492,4.9,10500,135,18,63.43
01/06/2019 18:00,21.202,31.791,22.789,32.404,17.027,32.74,19.782,29.492,4.7,10957,136,0,67.37
01/06/2019 19:00,18.769,31.791,22.43,32.404,16.48,32.74,18.737,29.492,4.5,10816,137,0,67.2
01/06/2019 20:00,19.066,31.791,22.614,32.404,16.453,32.74,18.594,29.492,4.9,10527,140,0,66.03
01/06/2019 21:00,21.29,31.791,22.38,32.404,16.05,32.74,17.461,29.492,4.7,10076,146,0,55.36
01/06/2019 22:00,22.777,31.791,22.554,32.404,15.526,32.74,16.941,29.492,4.5,9982,150,0,58.59
01/06/2019 23:00,22.799,31.791,22.671,32.404,15.544,32.74,18.138,29.492,4.5,10149,156,0,55.97
01/07/2019 00:00,21.032,31.791,21.96,32.404,16.387,32.74,12.196,29.492,4.6,9552,164,0,54.58
01/07/2019 01:00,19.061,31.791,21.826,32.404,14.223,32.74,11.969,29.492,4.5,9383,91,0,50.7
01/07/2019 02:00,19.176,31.791,22.006,32.404,14.212,32.74,11.953,29.492,4.9,8979,98,0,47.84
01/07/2019 03:00,19.28,31.791,22.182,32.404,14.503,32.74,11.97,29.492,4.5,8745,103,0,46.11
01/07/2019 04:00,22.604,31.791,22.505,32.404,16.665,32.74,12.009,29.492,2.9,8744,113,0,46.08
01/07/2019 05:00,22.771,31.791,22.581,32.404,16.692,32.74,12.042,29.492,2.1,9199,135,0,47.62
01/07/2019 06:00,22.763,31.791,22.651,32.404,16.775,32.74,12.105,29.492,1.9,10314,168,0,55.77
01/07/2019 07:00,23.243,31.791,23.284,32.404,18.666,32.74,18.817,29.492,3.5,11598,227,0,68.61
01/07/2019 08:00,23.386,31.791,23.473,32.404,19.521,32.74,19.943,29.492,3.9,12243,306,0,74.15
01/07/2019 09:00,23.401,31.791,23.586,32.404,18.558,32.74,16.914,29.492,4.8,12390,407,1,74.93
01/07/2019 10:00,20.751,31.791,23.075,32.404,17.823,32.74,17.146,29.492,6,12431,520,39,73.59
01/07/2019 11:00,21.37,31.791,22.696,32.404,19.514,32.74,17.47,29.492,6.3,12439,598,118,71.23
01/07/2019 12:00,23.054,31.791,22.828,32.404,19.548,32.74,20.273,29.492,6.7,12249,705,172,70.18
01/07/2019 13:00,21.837,31.791,22.712,32.404,19.373,32.74,18.301,29.492,7.3,12275,883,201,68.74
01/07/2019 14:00,23.438,31.791,22.911,32.404,19.197,32.74,20.315,29.492,7.4,12023,1093,201,64.6
01/07/2019 15:00,23.448,31.791,22.539,32.404,17.576,32.74,19.097,29.492,7.6,12016,1287,159,59.25
01/07/2019 16:00,23.444,31.791,22.693,32.404,17.852,32.74,19.678,29.492,7.8,11974,1479,87,58.16
01/07/2019 17:00,23.446,31.791,23.462,32.404,18.685,32.74,17.218,29.492,8,12763,1688,17,74
01/07/2019 18:00,21.644,31.791,23.094,32.404,15.714,32.74,18.367,29.492,8.2,13002,1871,0,53.95
01/07/2019 19:00,19.315,31.791,22.688,32.404,14.945,32.74,16.674,29.492,8.1,12468,2022,0,50
01/07/2019 20:00,18.151,31.791,22.322,32.404,14.473,32.74,18.257,29.492,7.8,11848,2149,0,51
01/07/2019 21:00,18.793,31.791,22.504,32.404,15.283,32.74,18.038,29.492,7.8,11245,2241,0,44.4
01/07/2019 22:00,20.013,31.791,22.682,32.404,16.515,32.74,16.273,29.492,8.2,10939,2304,0,48.72
01/07/2019 23:00,21.146,31.791,22.414,32.404,16.141,32.74,16.557,29.492,8.2,11127,2339,0,44.4
01/08/2019 00:00,22.696,31.791,21.989,32.404,15.266,32.74,13.413,29.492,8.9,10642,2351,0,37.88
01/08/2019 01:00,21.672,31.791,21.784,32.404,15.406,32.74,12.484,29.492,9.3,10264,2147,0,43.76
01/08/2019 02:00,21.746,31.791,22.08,32.404,15.236,32.74,12.012,29.492,9.2,9820,2108,0,44.5
01/08/2019 03:00,21.774,31.791,22.163,32.404,14.887,32.74,12.013,29.492,7.7,9582,2053,0,30.87
01/08/2019 04:00,21.788,31.791,22.102,32.404,14.214,32.74,11.995,29.492,7.1,9597,2005,0,28.28
01/08/2019 05:00,21.816,31.791,22.241,32.404,14.236,32.74,12.025,29.492,6.4,9995,1974,0,42
01/08/2019 06:00,21.893,31.791,22.488,32.404,14.349,32.74,12.076,29.492,6,10938,1963,0,54
01/08/2019 07:00,22.174,31.791,22.935,32.404,16.196,32.74,16.705,29.492,6.2,11911,1969,0,60.79
01/08/2019 08:00,21.443,31.791,22.983,32.404,18.607,32.74,17.611,29.492,6.2,12313,1982,0,72.7
01/08/2019 09:00,19.543,31.791,22.811,32.404,16.287,32.74,13.543,29.492,6.1,12291,2009,1,67.64
01/08/2019 10:00,18.439,31.791,21.771,32.404,16.786,32.74,14.933,29.492,6.8,12189,2053,61,61.81
01/08/2019 11:00,21.655,31.791,20.546,32.404,17.415,32.74,12.783,29.492,6.6,12230,2105,187,58.55
01/08/2019 12:00,19.542,31.791,19.912,32.404,17.383,32.74,12.089,29.492,7,12093,2155,275,49.39
01/08/2019 13:00,19.407,31.791,20.14,32.404,17.361,32.74,12.19,29.492,7.6,12138,2199,332,49.01
01/08/2019 14:00,19.468,31.791,20.301,32.404,17.13,32.74,14.144,29.492,6.3,11987,2242,315,52.38
01/08/2019 15:00,19.56,31.791,20.022,32.404,17.02,32.74,16.768,29.492,7.5,12078,2271,245,52.37
01/08/2019 16:00,19.727,31.791,20.556,32.404,16.243,32.74,16.863,29.492,7,11940,2279,145,52.84
01/08/2019 17:00,22.828,31.791,20.648,32.404,18.602,32.74,17.549,29.492,6.7,12493,2267,30,77.35
01/08/2019 18:00,22.306,31.791,20.399,32.404,13.484,32.74,19.751,29.492,5.2,12884,2235,0,55.22
01/08/2019 19:00,21.265,31.791,20.111,32.404,13.169,32.74,18.266,29.492,5.7,12430,2194,0,51.99
01/08/2019 20:00,21.266,31.791,20.235,32.404,13.164,32.74,19.861,29.492,5.5,11836,2157,0,50.1
01/08/2019 21:00,23.071,31.791,20.558,32.404,13.165,32.74,19.834,29.492,5.1,11278,2129,0,51.6
01/08/2019 22:00,23.235,31.791,20.462,32.404,13.433,32.74,15.244,29.492,5.3,11135,2112,0,53.34
01/08/2019 23:00,22.276,31.791,20.799,32.404,13.768,32.74,16.143,29.492,5.2,11341,2091,0,54.98
01/09/2019 00:00,21.452,31.791,20.833,32.404,15.324,32.74,17.031,29.492,4.6,10535,2063,0,45.1
01/09/2019 01:00,21.304,31.791,20.82,32.404,15.541,32.74,14.784,29.492,4.6,9978,2054,0,43.05
01/09/2019 02:00,18.886,31.791,20.364,32.404,15.326,32.74,13.504,29.492,4.1,9582,2059,0,40.41
01/09/2019 03:00,19.602,31.791,20.609,32.404,15.093,32.74,13.501,29.492,3.4,9356,2064,0,35.49
01/09/2019 04:00,22.097,31.791,20.731,32.404,14.729,32.74,13.515,29.492,4.1,9293,2066,0,30.76
01/09/2019 05:00,21.065,31.791,20.772,32.404,13.981,32.74,13.523,29.492,4,9693,2065,0,38.53
01/09/2019 06:00,20.412,31.791,20.931,32.404,14.079,32.74,13.626,29.492,4.1,10696,2051,0,50.69
01/09/2019 07:00,22.58,31.791,21.518,32.404,18.325,32.74,19.988,29.492,2.9,11711,2020,0,60.6
01/09/2019 08:00,23.825,31.791,21.835,32.404,18.544,32.74,20.477,29.492,3.6,12107,1986,0,70.39
01/09/2019 09:00,24.082,31.791,21.889,32.404,18.549,32.74,20.457,29.492,3.6,12181,1950,2,74
01/09/2019 10:00,24.003,31.791,21.163,32.404,19.398,32.74,20.483,29.492,4.4,12139,1917,164,70.1
01/09/2019 11:00,23.929,31.791,19.82,32.404,19.734,32.74,19.839,29.492,4.2,12216,1885,410,54.68
01/09/2019 12:00,23.856,31.791,19.764,32.404,19.59,32.74,20.469,29.492,4.5,12072,1851,605,51.09
01/09/2019 13:00,21.822,31.791,20.225,32.404,19.196,32.74,20.347,29.492,5.4,12091,1828,726,50.1
01/09/2019 14:00,20.339,31.791,20.203,32.404,19.613,32.74,19.38,29.492,6,11959,1812,732,54.16
01/09/2019 15:00,20.36,31.791,20.905,32.404,19.619,32.74,18.482,29.492,6.1,12015,1799,611,56.34
01/09/2019 16:00,21.558,31.791,20.869,32.404,18.898,32.74,19.002,29.492,5.9,11862,1784,368,64.98
01/09/2019 17:00,22.408,31.791,20.825,32.404,18.586,32.74,19.335,29.492,5.5,12386,1754,87,73.93
01/09/2019 18:00,23.997,31.791,21.16,32.404,18.307,32.74,18.42,29.492,4.5,12777,1704,0,74.69
01/09/2019 19:00,23.967,31.791,21.125,32.404,15.635,32.74,18.988,29.492,4,12344,1635,0,56.3
01/09/2019 20:00,22.156,31.791,21.237,32.404,16.169,32.74,20.209,29.492,3.6,11745,1554,0,56.3
01/09/2019 21:00,22.774,31.791,20.95,32.404,15.226,32.74,13.845,29.492,3.3,11209,1468,0,56.3
01/09/2019 22:00,23.721,31.791,20.677,32.404,15.134,32.74,17.506,29.492,3.2,11085,1387,0,56.3
01/09/2019 23:00,20.482,31.791,20.289,32.404,12.269,32.74,20.141,29.492,2.7,11301,1299,0,51.27
01/10/2019 00:00,20.33,31.791,20.571,32.404,14.323,32.74,20.2,29.492,2.3,10603,1200,0,52.69
01/10/2019 01:00,20.341,31.791,20.589,32.404,15.175,32.74,20.205,29.492,2,9951,986,0,49.8
01/10/2019 02:00,21.9,31.791,20.647,32.404,15.214,32.74,20.251,29.492,1.9,9549,876,0,49.19
01/10/2019 03:00,22.828,31.791,20.738,32.404,19.011,32.74,20.261,29.492,2.2,9288,755,0,48.8
01/10/2019 04:00,23.394,31.791,20.667,32.404,19.441,32.74,20.266,29.492,1.8,9242,635,0,48.5
01/10/2019 05:00,23.995,31.791,20.766,32.404,19.458,32.74,20.286,29.492,0.9,9532,528,0,49.8
01/10/2019 06:00,23.881,31.791,20.753,32.404,19.514,32.74,20.327,29.492,1.3,10405,433,0,60.08
01/10/2019 07:00,23.998,31.791,21.205,32.404,19.585,32.74,20.45,29.492,1.2,11531,356,0,72.6
01/10/2019 08:00,23.921,31.791,21.07,32.404,19.596,32.74,20.462,29.492,0.9,12004,296,0,81.17
01/10/2019 09:00,23.859,31.791,21.089,32.404,19.598,32.74,20.454,29.492,1.6,12158,255,2,81.79
01/10/2019 10:00,23.388,31.791,20.372,32.404,18.766,32.74,20.451,29.492,1.7,12147,233,101,81.15
01/10/2019 11:00,23.854,31.791,20.151,32.404,18.418,32.74,20.468,29.492,2.2,12094,218,271,80
01/10/2019 12:00,24.129,31.791,20.469,32.404,17.274,32.74,20.462,29.492,2.5,11899,210,396,76.39
01/10/2019 13:00,24.401,31.791,21.671,32.404,17.145,32.74,20.466,29.492,3.4,11828,213,446,75
01/10/2019 14:00,23.371,31.791,21.545,32.404,19.408,32.74,20.478,29.492,3.8,11808,220,414,76.06
01/10/2019 15:00,24.24,31.791,21.509,32.404,18.567,32.74,20.481,29.492,4,11851,222,321,75.4
01/10/2019 16:00,24.236,31.791,21.658,32.404,19.111,32.74,20.001,29.492,4.1,11964,220,187,76.78
01/10/2019 17:00,24.378,31.791,22.086,32.404,19.806,32.74,20.533,29.492,3.8,12583,222,42,83.45
01/10/2019 18:00,24.29,31.791,21.753,32.404,17.44,32.74,20.519,29.492,3.6,12962,221,0,85.15
01/10/2019 19:00,23.298,31.791,21.74,32.404,16.512,32.74,20.489,29.492,3.2,12514,227,0,78.16
01/10/2019 20:00,22.156,31.791,21.223,32.404,15.477,32.74,15.497,29.492,2.6,11991,230,0,71.92
